,Lat,Lng,Income
288,30.4340146,-90.6773046,62187.0
289,29.95106579999999,-90.0715323,45615.0
290,32.4271852,-92.2236667,41137.0
291,31.1461104,-92.539603,50490.0
292,30.6036535,-92.0665197,38681.0
293,30.4357418,-89.9253233,69076.0
294,30.6194521,-90.37483540000001,47825.0
295,29.2299682,-90.7532809,48446.0
296,44.19124160000001,-70.17070369999999,63813.0
297,46.819941,-68.4766064,38768.0
298,43.81329789999999,-70.3870587,76059.0
299,44.4499153,-69.7038278,55389.0
300,45.3230777,-68.5806727,50449.0
301,43.4132697,-70.6702521,66648.0
302,39.6255251,-78.6114999,48867.0
303,38.9530109,-76.5488232,101147.0
304,39.4647665,-76.7336521,77358.0
305,38.49495030000001,-76.5025742,112380.0
306,39.5423418,-77.0564464,103014.0
307,39.5739403,-75.94632399999999,76441.0
308,38.5221781,-77.10249019999999,103932.0
309,39.3844507,-77.4701972,103516.0
310,39.5838964,-76.3637285,92331.0
311,39.2873463,-76.964306,121618.0
312,39.1547426,-77.2405153,110389.0
313,38.78492110000001,-76.8720961,86290.0
314,38.1060259,-76.3637285,87947.0
315,39.641762,-77.719993,59140.0
316,38.3941813,-75.667356,54402.0
317,39.2903848,-76.6121893,50177.0
318,41.69909579999999,-70.32091129999999,85042.0
319,42.311782,-73.1821623,58895.0
320,41.7938406,-71.1448516,70402.0
321,42.7051144,-70.90712359999999,83810.0
322,42.530599,-72.61511689999999,60018.0
323,42.1172314,-72.6624209,60161.0
324,42.3471357,-72.6624209,74778.0
325,42.467206,-71.2874209,107056.0
326,42.17668,-71.1448516,107361.0
327,41.9120406,-70.7168469,90880.0
328,42.3522866,-71.0504229,77558.0
329,42.4096528,-71.8571331,78345.0
330,42.5709865,-86.3376761,66278.0
331,43.7109732,-84.01674229999999,49610.0
332,42.0320742,-86.7416374,50153.0
333,42.2073905,-85.02334599999999,49055.0
334,42.9663458,-84.5222189,69651.0
335,42.5886496,-84.7733325,65409.0
336,43.0777289,-83.67739279999999,50389.0
337,44.687984,-85.52002399999999,65266.0
338,42.6468943,-84.3542049,54395.0
339,43.598799,-84.8567932,45201.0
